Date,Mode,Category,Subcategory,Note,Amount,Income/Expense,Currency,_id
2025-01-03,Netbanking,social life,Leisure,Paid bill,3203.63,Expense,INR,
10/3/2017,Saving Bank account 1,food,Milk,milk 1lit ,62.0,Expense,INR,
2025-04-04,Cash,tourism,Trip,Medical bill,3493.79,Expense,INR,
21/10/2017 19:30:30,Cash,food,Grocery,Onion half kg 13 + milkybar 10 + Colgate maxfresh 10,33.0,Expense,INR,
2025-01-10,Debit Card,recurring deposit,Recurring Deposit,Online course,2582.05,Expense,INR,
15/10/2016 10:31:22,Saving Bank account 1,food,Grocery,,430.0,Expense,INR,
2025-05-16,Credit Card,education,Stationary,Lunch at cafe,2800.22,Expense,INR,
2025-03-12,Netbanking,subscription,DishTV,Online course,3841.96,Expense,INR,
2025-03-04,Cash,subscription,DishTV,Subscription renewal,252.47,Expense,INR,
26/11/2017 17:25:47,Saving Bank account 1,health,Hospital,"Routine checkup - eye institute, Place 6",400.0,Expense,INR,
2025-04-10,Debit Card,food,Milk,Festival shopping,577.68,Expense,INR,
8/2/2016,Saving Bank account 1,subscription,Mobile Service Provider,Mobile Service Provider recharge wfh,251.0,Expense,INR,
2025-04-29,Debit Card,food,Grocery,Bought groceries,4342.57,Expense,INR,
2025-03-03,Cash,subscription,Amazon Prime,UPI transfer,1499.0,Expense,INR,
29/01/2018 07:49:22,Saving Bank account 1,food,Milk,1 lit ,69.0,Expense,INR,
2025-05-21,UPI,festivals,Diwali,Paid bill,1631.56,Expense,INR,
27/05/2018 10:50:10,Saving Bank account 2,interest,,interest paid,28.0,Income,INR,
2025-05-11,Netbanking,subscription,Airtel,Festival shopping,4021.79,Expense,INR,
2025-04-27,Netbanking,subscription,Netflix,Paid bill,149.0,Expense,INR,
2025-03-26,Credit Card,culture,Movie,Movie night,3946.8,Income,INR,
2025-02-22,Debit Card,subscription,DishTV,Festival shopping,328.62,Expense,INR,
2025-04-05,Debit Card,subscription,Netflix,Festival shopping,499.0,Expense,INR,
2025-03-22,Cash,apparel,Footwear,Festival shopping,2545.34,Expense,INR,
2025-04-25,UPI,social life,Leisure,Medical bill,138.28,Expense,INR,
2025-05-04,Netbanking,other,Donation,Movie night,4938.28,Expense,INR,
2025-06-21,Cash,other,Donation,Medical bill,3366.96,Expense,INR,
7/4/2017,Saving Bank account 1,equity mutual fund e,,,1000.0,Transfer-Out,INR,
7/7/2015,Saving Bank account 1,investment,Mutual fund,reliance mutual fund,1000.0,Expense,INR,
2025-02-08,Debit Card,subscription,Tata Sky,Festival shopping,1940.74,Expense,INR,
19/06/2017 10:19:53,Saving Bank account 1,food,Grocery,Shev bhaji sev pav kg,60.0,Expense,INR,
2025-01-22,Netbanking,festivals,Holi,Festival shopping,384.74,Expense,INR,
2025-06-14,Credit Card,grooming,Saloon,Train ticket,1566.32,Expense,INR,
2025-05-25,Debit Card,grooming,Saloon,Paid bill,1008.26,Expense,INR,
2025-04-12,UPI,recurring deposit,Recurring Deposit,Online course,2059.8,Expense,INR,
3/1/2015,Saving Bank account 1,other,,cricket expenses,223.0,Expense,INR,
2025-01-14,Netbanking,subscription,Airtel,UPI transfer,919.55,Expense,INR,
28/04/2016 22:24:09,Saving Bank account 1,subscription,Hotstar,subscription,299.0,Expense,INR,
2025-04-13,Cash,household,Appliances,Lunch at cafe,1260.76,Expense,INR,
6/7/2015,Saving Bank account 1,recurring deposit,,,1000.0,Expense,INR,
19/11/2017 20:23:06,Cash,transportation,auto,2 Place 0 to Current Residence,30.0,Expense,INR,
8/1/2018,Cash,food,snacks,Vadapav,20.0,Expense,INR,
2025-06-01,UPI,transportation,Taxi,Lunch at cafe,1545.95,Expense,INR,
23/03/2017 22:04:15,Saving Bank account 1,family,Pocket money,,3000.0,Expense,INR,
2025-03-01,Netbanking,food,Lunch,Train ticket,2149.14,Expense,INR,
2025-01-02,Credit Card,subscription,Tata Sky,Paid bill,1515.52,Expense,INR,
2025-04-26,Debit Card,subscription,Airtel,Subscription renewal,3922.33,Expense,INR,
2025-02-08,Netbanking,investment,Mutual fund,Movie night,2753.54,Expense,INR,
2025-03-10,Credit Card,self-development,Self-development,Train ticket,2202.01,Expense,INR,
10/3/2017,Saving Bank account 1,transportation,Travels,2 Place 2 to Place 1,1599.98,Expense,INR,
2025-06-10,Netbanking,apparel,Footwear,Paid bill,1706.25,Expense,INR,
2025-06-09,Cash,public provident fund,Public Provident Fund,Bought groceries,1659.15,Expense,INR,
2024-12-28,Debit Card,subscription,Spotify,Festival shopping,179.0,Expense,INR,
28/06/2018 18:35:52,Cash,food,snacks,Bhaji + vadapav + kachori+ tea,70.0,Expense,INR,
2025-06-02,UPI,apparel,Footwear,Lunch at cafe,863.12,Expense,INR,
2025-01-12,Credit Card,water (jar /tanker),water (jar /tanker),Train ticket,1758.17,Expense,INR,
7/1/2018,Cash,food,Tea,2 cutting chai,20.0,Expense,INR,
30/01/2017 07:24:02,Cash,food,snacks,single pav vada,15.0,Expense,INR,
18/05/2017 16:11:48,Saving Bank account 1,food,Dinner,pav bhaji + 5 pav extra,219.0,Expense,INR,
7/3/2018,Saving Bank account 1,food,snacks,2 Vadapav,30.0,Expense,INR,
2025-06-10,UPI,household,Appliances,Subscription renewal,1879.87,Expense,INR,
2025-05-01,Debit Card,beauty,grooming,Paid bill,4949.8,Expense,INR,
2025-01-03,UPI,household,Appliances,Bought groceries,3049.63,Expense,INR,
2025-01-05,Credit Card,culture,Movie,UPI transfer,3809.93,Expense,INR,
2025-05-26,Debit Card,subscription,Airtel,Lunch at cafe,3175.13,Expense,INR,
2025-03-21,UPI,culture,Movie,Movie night,3103.42,Income,INR,
2025-05-30,Netbanking,culture,Movie,Bought groceries,3610.34,Expense,INR,
2025-05-11,Cash,health,Medicine,Online course,1686.7,Expense,INR,
30/11/2017 16:56:20,Saving Bank account 1,money transfer,Home,,10000.0,Expense,INR,
2025-05-30,UPI,grooming,Saloon,Paid bill,4325.39,Expense,INR,
2025-05-15,UPI,water (jar /tanker),water (jar /tanker),Lunch at cafe,2551.47,Expense,INR,
2025-05-22,Netbanking,tourism,Trip,Online course,2226.85,Expense,INR,
2025-06-17,Cash,family,Pocket money,UPI transfer,4607.69,Expense,INR,
2025-05-01,Cash,tourism,Trip,UPI transfer,4254.57,Expense,INR,
2025-04-25,Debit Card,money transfer,Money transfer,Train ticket,3846.16,Expense,INR,
2025-05-31,Netbanking,other,Donation,Lunch at cafe,1582.93,Expense,INR,
2025-05-28,Credit Card,rent,Rent,UPI transfer,1830.77,Expense,INR,
2025-01-16,Cash,education,Stationary,Online course,2276.56,Expense,INR,
2025-04-20,UPI,beauty,grooming,Festival shopping,662.72,Expense,INR,
2025-04-06,Netbanking,subscription,Tata Sky,Train ticket,663.74,Expense,INR,
28/05/2018 14:11:17,Credit Card,subscription,Mobile Service Provider,Data booster pack,25.0,Expense,INR,
11/3/2016,Cash,food,Grocery,cheese cubes(2)+ neutralite butter,60.0,Expense,INR,
2025-03-12,Credit Card,education,Stationary,Paid bill,1181.64,Expense,INR,
28/02/2016 10:08:09,Saving Bank account 1,food,snacks, pedhe,100.0,Expense,INR,
2025-01-22,Cash,money transfer,Money transfer,Paid bill,2760.99,Expense,INR,
23/06/2016 12:02:39,Saving Bank account 1,subscription,Amazon Prime,Amazon prime subscription,995.0,Expense,INR,
18/05/2017 11:06:19,Saving Bank account 1,food,Milk,milk 1lit ,64.0,Expense,INR,
14/05/2018 12:55:41,Saving Bank account 1,food,fruits,2 dozens mango + 1kg litchi,1250.0,Expense,INR,
2025-01-07,Cash,investment,Mutual fund,Festival shopping,3491.73,Expense,INR,
2025-06-27 23:41:04,Cash,food,Sweets,,1000.0,Expense,INR,685edeb88b0cbb213aa84671
2025-06-13,Cash,self-development,Self-development,UPI transfer,707.01,Expense,INR,
2025-03-08,Netbanking,public provident fund,Public Provident Fund,Festival shopping,4250.41,Expense,INR,
2025-02-18,Cash,food,Milk,UPI transfer,3377.05,Expense,INR,
15/11/2017 20:47:14,Saving Bank account 1,household,Kirana,Toast 55 + Kisan Jam 85 + all out 75,209.0,Expense,INR,
2025-01-26,Credit Card,subscription,Amazon Prime,Movie night,599.0,Expense,INR,
2025-03-15,Debit Card,subscription,Tata Sky,Paid bill,4487.13,Expense,INR,
2025-05-06,Debit Card,gift,Gift,Subscription renewal,4940.86,Expense,INR,
2025-05-14,Debit Card,social life,Leisure,Train ticket,3521.03,Expense,INR,
2025-03-01,Debit Card,subscription,Spotify,UPI transfer,25.0,Expense,INR,
4/7/2017,Saving Bank account 1,food,Milk,milk 1lit ,64.0,Expense,INR,
8/2/2015,Saving Bank account 1,other,,deo and amul milk,371.0,Expense,INR,
1/9/2016,Saving Bank account 1,transportation,Travels,Place 2 to mum,750.0,Expense,INR,
7/3/2017,Cash,food,fruits,1 kg apple + grapes 0.5 kg,190.0,Expense,INR,
29/08/2017 12:03:54,Cash,transportation,Taxi,Ola cab - Domestic airport T1 to Current Residence,640.0,Expense,INR,
2025-05-07,Netbanking,food,Dinner,Festival shopping,2314.24,Expense,INR,
5/7/2018,Cash,transportation,auto,Current Residence to Place 0,15.0,Expense,INR,
2025-04-10,Credit Card,apparel,Footwear,UPI transfer,3320.45,Expense,INR,
2025-06-20,UPI,water (jar /tanker),water (jar /tanker),Paid bill,695.91,Expense,INR,
2024-12-25,Netbanking,rent,Rent,Subscription renewal,2524.32,Expense,INR,
2025-04-29,Debit Card,family,Pocket money,Movie night,865.19,Expense,INR,
2025-05-19,Debit Card,transportation,Taxi,Medical bill,3405.9,Expense,INR,
2025-02-12,Debit Card,festivals,Diwali,Bought groceries,3898.34,Expense,INR,
2025-04-20,Credit Card,household,Appliances,Lunch at cafe,2741.01,Expense,INR,
2025-04-14,Credit Card,family,Pocket money,Bought groceries,4622.27,Expense,INR,
2025-04-30,UPI,household,Kirana,Bought groceries,986.14,Expense,INR,
2025-03-14,Netbanking,transportation,Taxi,Medical bill,1866.85,Expense,INR,
2025-04-20,Credit Card,beauty,grooming,Online course,4083.04,Expense,INR,
2025-03-15,Debit Card,recurring deposit,Recurring Deposit,Medical bill,4917.08,Expense,INR,
2025-01-04,Netbanking,health,Medicine,Lunch at cafe,2444.93,Expense,INR,
2025-04-28,Credit Card,apparel,Clothing,Movie night,2308.33,Expense,INR,
2025-06-01,Credit Card,subscription,DishTV,Train ticket,4542.19,Expense,INR,
2025-03-29,Netbanking,transportation,Train,Subscription renewal,1816.88,Expense,INR,
2025-06-21,Netbanking,household,Appliances,Subscription renewal,4746.15,Expense,INR,
11/8/2017,Cash,gift,,Rakshabandhan ovalini,500.0,Expense,INR,
2025-01-31,Credit Card,grooming,Saloon,Bought groceries,401.45,Income,INR,
6/6/2017,Cash,food,snacks,2 Veg puff,40.0,Expense,INR,
2025-02-12,UPI,food,Milk,Paid bill,3613.61,Expense,INR,
2025-03-16,Netbanking,beauty,grooming,Movie night,1165.15,Expense,INR,
5/1/2016,Saving Bank account 1,investment,Mutual fund,Mutual fund A,1000.0,Expense,INR,
17/08/2017 19:36:33,Cash,food,snacks,2 Bhaji pav + 1 vadapav,45.0,Expense,INR,
2025-01-10,Cash,transportation,Train,Lunch at cafe,2006.66,Expense,INR,
2025-02-24,Debit Card,subscription,Airtel,Bought groceries,1892.02,Expense,INR,
2025-01-22,UPI,subscription,Netflix,Paid bill,199.0,Expense,INR,
1/1/2015,Cash,transportation,,share jeep - Place T top to base,20.0,Expense,INR,
2025-06-22,Cash,investment,Mutual fund,Movie night,4733.82,Expense,INR,
2025-04-20,Cash,festivals,Diwali,Medical bill,1725.18,Expense,INR,
27/04/2018 18:30:51,Cash,household,Kirana,Supermart,295.0,Expense,INR,
2025-01-25,Credit Card,transportation,Train,Subscription renewal,3316.83,Expense,INR,
2025-04-22,Debit Card,culture,Movie,Movie night,1836.93,Expense,INR,
2025-04-20,Debit Card,food,Milk,Train ticket,3057.88,Expense,INR,
2025-05-01,Credit Card,self-development,Self-development,Lunch at cafe,4779.32,Expense,INR,
2025-05-08,Netbanking,water (jar /tanker),water (jar /tanker),Festival shopping,2335.57,Expense,INR,
2025-03-16,UPI,transportation,auto,Medical bill,3697.93,Expense,INR,
15/06/2017 19:01:47,Saving Bank account 1,other,,Courier,50.0,Expense,INR,
2025-06-21,Credit Card,subscription,Tata Sky,Movie night,3874.39,Expense,INR,
25/12/2017 17:43:26,Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,156.0,Expense,INR,
23/03/2017 13:49:11,Saving Bank account 1,other,,Fifa 21 pc,1499.0,Expense,INR,
2025-06-13,Debit Card,food,Lunch,Subscription renewal,4867.28,Expense,INR,
25/03/2018 21:14:08,Cash,food,snacks,Popcorn family pack,25.0,Expense,INR,
2025-05-31,Netbanking,subscription,Tata Sky,Online course,211.79,Expense,INR,
2025-02-12,Credit Card,apparel,Footwear,Subscription renewal,2452.03,Expense,INR,
29/01/2015 07:30:48,Cash,food,,samosa,15.0,Expense,INR,
2025-01-11,Credit Card,food,Grocery,Train ticket,2943.27,Expense,INR,
5/8/2018,Cash,transportation,auto,Current Residence to Place 0,15.0,Expense,INR,
2025-05-01,Netbanking,education,Stationary,Festival shopping,441.44,Expense,INR,
10/7/2018,Saving Bank account 1,dividend earned on shares,,Tata Steel Stocks,180.0,Income,INR,
4/1/2018,Saving Bank account 1,small cap fund 1,,,5000.0,Transfer-Out,INR,
29/05/2016 19:16:49,Saving Bank account 1,food,Grocery,sanitary napkins+chocolates+Maggie+khajoor,504.0,Expense,INR,
19/01/2015 07:34:00,Cash,food,,milk half gold,29.0,Expense,INR,
2025-01-09,Netbanking,rent,Rent,Online course,1463.47,Expense,INR,
2025-03-20,Netbanking,social life,Leisure,Subscription renewal,4378.65,Expense,INR,
2025-01-18,Netbanking,culture,Movie,Movie night,2269.15,Expense,INR,
2025-05-11,Netbanking,education,Stationary,UPI transfer,859.45,Expense,INR,
2025-03-04,Debit Card,subscription,Netflix,Train ticket,649.0,Expense,INR,
11/5/2018,Cash,food,Rajgira ladu,1 packet,20.0,Expense,INR,
2025-02-01,Netbanking,household,Kirana,UPI transfer,1017.4,Expense,INR,
2025-02-12,Debit Card,apparel,Footwear,Bought groceries,824.65,Expense,INR,
27/02/2017 09:18:03,Cash,household,Appliances,3 Wall clock cell,55.0,Expense,INR,
2025-01-02,Netbanking,education,Stationary,Bought groceries,915.2,Expense,INR,
30/04/2018 18:25:08,Cash,household,Kirana,Supermart,165.0,Expense,INR,
2025-01-27,UPI,food,Milk,Subscription renewal,639.65,Expense,INR,
2025-02-28,UPI,public provident fund,Public Provident Fund,Lunch at cafe,541.08,Expense,INR,
2025-05-21,Netbanking,subscription,Amazon Prime,Movie night,599.0,Expense,INR,
2024-12-29,Credit Card,gift,Gift,Online course,2532.87,Expense,INR,
2025-04-11,Cash,festivals,Diwali,Lunch at cafe,1649.11,Expense,INR,
2025-04-21,Debit Card,subscription,Airtel,Subscription renewal,4502.28,Expense,INR,
2025-04-10,Cash,beauty,grooming,Medical bill,3226.41,Expense,INR,
2025-02-20,Credit Card,water (jar /tanker),water (jar /tanker),Festival shopping,4858.33,Expense,INR,
2025-05-12,Credit Card,self-development,Self-development,UPI transfer,3104.2,Expense,INR,
2025-04-17,Cash,festivals,Holi,Subscription renewal,1008.26,Expense,INR,
30/01/2017 07:24:02,Saving Bank account 1,food,Milk,half liter buffalo,35.0,Expense,INR,
2025-02-09,Debit Card,gift,Gift,Medical bill,3111.56,Expense,INR,
2025-02-15,UPI,other,Donation,Festival shopping,848.56,Expense,INR,
2025-05-09,Debit Card,recurring deposit,Recurring Deposit,Train ticket,3622.1,Expense,INR,
2025-01-01,Debit Card,other,Donation,Medical bill,390.43,Expense,INR,
2025-06-18,Credit Card,investment,Mutual fund,Subscription renewal,1843.72,Expense,INR,
2025-06-19,Credit Card,household,Kirana,Online course,4474.41,Expense,INR,
3/8/2018,Cash,family,Pocket money,,2000.0,Expense,INR,
2025-05-06,Cash,household,Appliances,Paid bill,4371.39,Expense,INR,
2025-01-06,Netbanking,health,Medicine,Online course,3422.68,Expense,INR,
2025-01-18,Debit Card,tourism,Trip,Festival shopping,1167.23,Expense,INR,
10/3/2018,Cash,food,Milk,Half lit  milk,36.0,Expense,INR,
2025-05-07,Cash,water (jar /tanker),water (jar /tanker),Paid bill,4887.46,Expense,INR,
15/11/2016 20:23:12,Cash,other,,flowers,10.0,Expense,INR,
2025-03-29,UPI,grooming,Saloon,Paid bill,660.38,Income,INR,
2025-02-26,UPI,transportation,auto,Bought groceries,616.89,Expense,INR,
2025-03-15,Cash,self-development,Self-development,Online course,1894.3,Expense,INR,
13/03/2018,Saving Bank account 1,small cap fund 2,,,5000.0,Transfer-Out,INR,
23/10/2017 04:23:50,Saving Bank account 1,subscription,Tata Sky,Permanent Residence - Tata Play recharge,191.0,Expense,INR,
2025-03-25,Netbanking,money transfer,Money transfer,Lunch at cafe,772.22,Expense,INR,
2025-02-27,UPI,festivals,Diwali,Train ticket,3753.21,Expense,INR,
2025-05-10,Credit Card,other,Donation,Bought groceries,1024.45,Expense,INR,
2025-06-04,Netbanking,food,Milk,Medical bill,2466.27,Expense,INR,
2025-02-23,Debit Card,self-development,Self-development,Medical bill,2330.15,Expense,INR,
2025-05-10,Cash,self-development,Self-development,Paid bill,1701.43,Expense,INR,
2025-01-25,Credit Card,apparel,Footwear,Lunch at cafe,4081.47,Expense,INR,
2024-12-29,Credit Card,subscription,Amazon Prime,Movie night,1499.0,Expense,INR,
2025-03-27,Credit Card,health,Medicine,Lunch at cafe,2698.05,Expense,INR,
2025-01-28,UPI,food,Milk,Lunch at cafe,1618.98,Expense,INR,
2/4/2015,Cash,cook,,,5000.0,Expense,INR,
2025-04-15,UPI,money transfer,Money transfer,Paid bill,4458.21,Expense,INR,
2025-02-09,Netbanking,grooming,Saloon,Bought groceries,2620.8,Expense,INR,
2025-05-08,Debit Card,rent,Rent,Lunch at cafe,1416.53,Expense,INR,
2025-05-16,Netbanking,apparel,Clothing,UPI transfer,1168.21,Expense,INR,
30/04/2017 21:03:30,Cash,food,fruits,6 bananas,25.0,Expense,INR,
2025-04-26,Credit Card,health,Medicine,Festival shopping,4693.52,Expense,INR,
12/3/2017,Cash,food,Lunch,pav bhaji pav(90) + 4 pav extra(40),130.0,Expense,INR,
2025-06-27 23:41:04,Cash,food,Sweets,,1000.0,Expense,INR,685edeb88b0cbb213aa84671
2025-01-06,UPI,beauty,grooming,Bought groceries,829.38,Expense,INR,
23/10/2015 14:30:42,Cash,transportation,auto,mandir to hospital,20.0,Expense,INR,
2025-04-02,Debit Card,festivals,Diwali,Festival shopping,1504.48,Expense,INR,
2025-01-27,Netbanking,other,Donation,Subscription renewal,4808.48,Expense,INR,
5/3/2017,Saving Bank account 1,recurring deposit,,,1000.0,Transfer-Out,INR,
2025-06-22,Netbanking,tourism,Trip,Paid bill,374.58,Expense,INR,
23/05/2017 22:09:27,Cash,household,Kirana,Rasna orange,46.0,Expense,INR,
2025-03-17,Cash,apparel,Clothing,Lunch at cafe,1775.32,Expense,INR,
2025-04-05,Netbanking,transportation,auto,Lunch at cafe,613.38,Expense,INR,
2025-05-23,Credit Card,subscription,Edtech Course,Medical bill,2823.85,Expense,INR,
2025-03-19,Credit Card,festivals,Holi,Movie night,4267.14,Income,INR,
2025-05-12,Cash,subscription,Edtech Course,Paid bill,2226.79,Expense,INR,
20/02/2018 21:42:59,Saving Bank account 1,household,Appliances,Kitchen fan + installation+ repair,2600.0,Expense,INR,
2025-05-11,Cash,transportation,auto,Train ticket,2710.9,Expense,INR,
27/06/2017 10:04:24,Saving Bank account 1,recurring deposit,,New RD opened for 3 years,1000.0,Transfer-Out,INR,
2024-12-31,Credit Card,subscription,Spotify,Train ticket,179.0,Expense,INR,
2025-02-26,Credit Card,tourism,Trip,Train ticket,1700.6,Income,INR,
2025-03-26,Cash,grooming,Saloon,UPI transfer,1701.71,Expense,INR,
2025-01-08,Netbanking,food,Lunch,Movie night,3754.64,Expense,INR,
23/03/2015 13:19:44,Credit Card,food,Grocery,,433.8,Expense,INR,
2025-02-07,Cash,household,Kirana,UPI transfer,1544.06,Expense,INR,
10/6/2017,Saving Bank account 1,equity mutual fund f,,,1000.0,Transfer-Out,INR,
29/01/2015 07:30:48,Cash,food,,good day biscuits,38.0,Expense,INR,
2025-05-27,Credit Card,transportation,auto,Subscription renewal,4364.6,Expense,INR,
2025-05-12,Netbanking,subscription,Spotify,Subscription renewal,179.0,Expense,INR,
2025-03-01,Debit Card,water (jar /tanker),water (jar /tanker),Festival shopping,1539.87,Expense,INR,
2025-05-23,Cash,food,Milk,Subscription renewal,801.19,Expense,INR,
8/5/2018,Cash,beauty,grooming,Shaving,50.0,Expense,INR,
2025-06-23,UPI,self-development,Self-development,Movie night,1585.65,Expense,INR,
1/9/2017,Saving Bank account 1,money transfer,Home,,10000.0,Expense,INR,
2025-04-08,Debit Card,subscription,Netflix,Festival shopping,199.0,Expense,INR,
6/8/2017,Cash,health,Medicine,Vicks VapoRub,22.0,Expense,INR,
2025-06-12,Debit Card,transportation,Train,UPI transfer,2466.86,Expense,INR,
2025-05-12,Cash,transportation,auto,Festival shopping,2166.5,Expense,INR,
2025-04-15,Debit Card,public provident fund,Public Provident Fund,Paid bill,3704.59,Expense,INR,
3/5/2017,Cash,transportation,Train,40 Place 0 to Place 3 return+ 20 single,60.0,Expense,INR,
2025-05-18,UPI,household,Kirana,UPI transfer,651.97,Expense,INR,
2025-05-04,Cash,household,Appliances,Paid bill,569.88,Income,INR,
2025-06-04,Credit Card,transportation,Train,Paid bill,387.06,Expense,INR,
2025-02-13,Cash,apparel,Clothing,Lunch at cafe,3913.49,Expense,INR,
2025-03-28,UPI,tourism,Trip,Online course,3566.38,Expense,INR,
2025-01-24,Netbanking,apparel,Clothing,Lunch at cafe,4631.31,Expense,INR,
2025-01-22,UPI,other,Donation,Paid bill,3657.35,Expense,INR,
2024-12-26,Debit Card,household,Appliances,Bought groceries,4470.63,Expense,INR,
2025-05-19,UPI,festivals,Holi,Subscription renewal,4662.77,Expense,INR,
2025-03-07,Credit Card,food,Lunch,Movie night,4128.93,Expense,INR,
2024-12-30,Debit Card,subscription,Airtel,Online course,2704.31,Expense,INR,
2025-05-01,Netbanking,festivals,Diwali,Festival shopping,4026.81,Expense,INR,
2025-05-23,Netbanking,household,Kirana,Movie night,4008.22,Expense,INR,
24/08/2018 22:13:43,Credit Card,food,Dinner,Home Food Delivery,1120.0,Expense,INR,
2025-03-17,Netbanking,recurring deposit,Recurring Deposit,Online course,1506.84,Expense,INR,
2025-05-20,Cash,education,Stationary,Train ticket,297.86,Expense,INR,
2025-05-08,Cash,apparel,Footwear,UPI transfer,2695.5,Expense,INR,
2025-01-14,Netbanking,food,Dinner,Festival shopping,197.35,Income,INR,
31/12/2015 16:56:24,Saving Bank account 1,salary,,From workplace ,77335.0,Income,INR,
2025-04-19,Credit Card,food,snacks,Online course,389.07,Expense,INR,
1/11/2017,Saving Bank account 1,money transfer,Home,,10000.0,Expense,INR,
2025-05-03,Credit Card,food,Dinner,Online course,1573.55,Expense,INR,
2025-05-22,Netbanking,tourism,Trip,Train ticket,701.74,Expense,INR,
2025-02-01,Credit Card,gift,Gift,Train ticket,4277.52,Expense,INR,
2025-02-02,Credit Card,food,Lunch,Movie night,2981.96,Expense,INR,
2025-06-14,UPI,subscription,Amazon Prime,UPI transfer,599.0,Expense,INR,
2025-04-13,Debit Card,investment,Mutual fund,Online course,2215.8,Expense,INR,
2025-06-20,Netbanking,apparel,Footwear,Medical bill,2896.9,Expense,INR,
2025-01-30,Netbanking,food,Milk,Medical bill,3110.57,Expense,INR,
2025-05-01,Netbanking,food,Lunch,Paid bill,2896.62,Expense,INR,
2025-05-11,Cash,apparel,Clothing,Lunch at cafe,1655.49,Expense,INR,
28/02/2015 17:48:39,Cash,food,Lunch,chicken thali,55.0,Expense,INR,
2025-01-04,Netbanking,gift,Gift,Medical bill,2764.02,Expense,INR,
27/10/2016 13:57:56,Cash,food,Grocery,mehndi,25.0,Expense,INR,
1/1/2015,Credit Card,food,,bendys chicken biryani,400.0,Expense,INR,
2025-04-29,UPI,food,snacks,Festival shopping,726.63,Expense,INR,
2025-02-04,Debit Card,grooming,Saloon,Medical bill,2186.4,Expense,INR,
19/07/2017 08:44:38,Saving Bank account 1,food,Eggs,4 eggs,22.0,Expense,INR,
2025-02-13,Debit Card,apparel,Clothing,UPI transfer,4939.38,Expense,INR,
2025-01-21,Debit Card,investment,Mutual fund,Subscription renewal,2065.23,Expense,INR,
2025-06-20,Debit Card,subscription,DishTV,Movie night,3996.28,Expense,INR,
2025-05-13,Debit Card,tourism,Trip,Medical bill,3109.84,Expense,INR,
2025-04-28,Cash,beauty,grooming,Movie night,1227.81,Income,INR,
2025-05-19,Credit Card,education,Stationary,Subscription renewal,1113.19,Expense,INR,
2025-03-30,Debit Card,self-development,Self-development,Train ticket,1169.71,Expense,INR,
1/12/2015,Saving Bank account 1,money transfer,,,50000.0,Expense,INR,
26/02/2018 22:48:53,Saving Bank account 1,food,Milk,1 lit ,73.0,Expense,INR,
24/06/2018 16:11:17,Saving Bank account 1,food,breakfast,Bread,18.0,Expense,INR,
1/12/2017,Cash,maid,,,2000.0,Expense,INR,
2025-02-21,Netbanking,subscription,Spotify,Lunch at cafe,149.0,Expense,INR,
30/05/2017 17:04:07,Cash,food,Lunch,2 veg Frankie,120.0,Expense,INR,
2025-05-14,Cash,social life,Leisure,Train ticket,393.05,Expense,INR,
2025-03-05,Debit Card,family,Pocket money,Lunch at cafe,4078.08,Expense,INR,
2025-03-03,Cash,subscription,Tata Sky,Online course,1118.03,Expense,INR,
2025-02-02,Netbanking,other,Donation,Bought groceries,2458.71,Income,INR,
5/3/2017,Cash,transportation,auto,Place 0 to sec 21,30.0,Expense,INR,
2025-06-15,Cash,festivals,Diwali,Subscription renewal,2173.6,Expense,INR,
2025-04-07,UPI,family,Pocket money,Online course,2191.47,Expense,INR,
2025-02-01,UPI,food,Lunch,Movie night,1870.69,Income,INR,
