Date,Mode,Category,Subcategory,Note,Amount,Income/Expense,Currency,_id
2025-02-20,Netbanking,food,Dinner,Online course,2801.42,Expense,INR,
2025-03-21,Credit Card,transportation,auto,Lunch at cafe,2852.0,Expense,INR,
1/6/2017,Saving Bank account 1,food,snacks,2 kachori,24.0,Expense,INR,
2025-03-28,UPI,subscription,Netflix,Medical bill,199.0,Expense,INR,
22/06/2017 23:04:54,Saving Bank account 1,food,Eating out,Taco Bell veg combo,261.0,Expense,INR,
2025-06-17,Debit Card,household,Kirana,Subscription renewal,3574.21,Expense,INR,
2025-01-25,UPI,household,Appliances,Festival shopping,1970.76,Expense,INR,
2025-01-11,UPI,food,Grocery,Paid bill,4194.01,Expense,INR,
2025-03-30,Cash,water (jar /tanker),water (jar /tanker),Lunch at cafe,3259.75,Expense,INR,
2025-02-23,Cash,public provident fund,Public Provident Fund,Medical bill,782.16,Expense,INR,
2025-05-10,Cash,subscription,Tata Sky,Movie night,2193.34,Expense,INR,
2025-03-19,UPI,transportation,Taxi,Lunch at cafe,3614.56,Expense,INR,
30/12/2016 21:30:17,Cash,transportation,auto,Permanent Residence to bus stand,100.0,Expense,INR,
5/3/2017,Saving Bank account 1,equity mutual fund a,,,1000.0,Transfer-Out,INR,
2025-06-05,Credit Card,household,Kirana,Movie night,1921.52,Income,INR,
28/08/2017 12:06:47,Cash,food,snacks,2 chips packets,20.0,Expense,INR,
2025-02-03,UPI,money transfer,Money transfer,UPI transfer,219.94,Expense,INR,
13/02/2018 20:23:23,Saving Bank account 1,food,Bread,Bread,35.0,Expense,INR,
2025-04-07,Netbanking,education,Stationary,Paid bill,3398.53,Expense,INR,
2025-05-28,Debit Card,transportation,Train,Movie night,341.87,Expense,INR,
2025-02-19,Debit Card,festivals,Diwali,Subscription renewal,1683.57,Expense,INR,
2025-03-11,Credit Card,festivals,Holi,Bought groceries,2779.36,Expense,INR,
10/7/2015,Saving Bank account 1,investment,Mutual fund, mutual fund,1000.0,Expense,INR,
2025-03-05,Cash,gift,Gift,Paid bill,396.33,Expense,INR,
2025-01-25,Netbanking,festivals,Diwali,Paid bill,4024.37,Expense,INR,
11/12/2016,Saving Bank account 1,health,Medicine,eye drop maxmoist,257.0,Expense,INR,
2025-03-14,Cash,gift,Gift,Medical bill,1695.85,Expense,INR,
2025-05-09,Cash,money transfer,Money transfer,Subscription renewal,1830.53,Expense,INR,
2025-04-23,Netbanking,subscription,Edtech Course,Subscription renewal,4112.2,Expense,INR,
2025-05-22,Debit Card,food,Lunch,Festival shopping,3038.83,Expense,INR,
2025-01-10,Credit Card,food,snacks,Festival shopping,4997.89,Expense,INR,
2025-06-17,UPI,money transfer,Money transfer,Paid bill,4185.87,Expense,INR,
28/11/2017 08:30:27,Saving Bank account 1,food,Milk,1 lit ,69.0,Expense,INR,
