Date,Mode,Category,Subcategory,Note,Amount,Income/Expense,Currency
2025-04-27,UPI,Apparel,Clothing,Paid bill,4843.52,Expense,INR
2025-04-29,Cash,Apparel,Clothing,Train ticket,1029.38,Expense,INR
2025-04-30,Netbanking,Apparel,Clothing,Lunch at cafe,2018.98,Expense,INR
2025-06-03,Netbanking,Apparel,Clothing,Online course,3298.19,Expense,INR
2025-02-17,Netbanking,Apparel,Clothing,Medical bill,2200.44,Expense,INR
2025-05-02,Credit Card,Apparel,Clothing,UPI transfer,4796.37,Expense,INR
2025-02-27,Debit Card,Apparel,Clothing,Festival shopping,638.34,Expense,INR
2025-06-21,UPI,Apparel,Clothing,Medical bill,496.14,Expense,INR
2025-03-16,Credit Card,Apparel,Clothing,Movie night,1072.39,Expense,INR
2025-06-01,Netbanking,Apparel,Clothing,Medical bill,3371.74,Expense,INR
2025-04-23,UPI,Apparel,Clothing,Movie night,2206.47,Expense,INR
2025-03-04,Credit Card,Apparel,Clothing,Online course,3282.94,Expense,INR
2025-02-28,Netbanking,Apparel,Clothing,Medical bill,3618.91,Expense,INR
2025-02-16,Debit Card,Apparel,Clothing,Online course,3954.39,Expense,INR
2025-02-13,Debit Card,Apparel,Clothing,UPI transfer,4939.38,Expense,INR
2025-04-15,UPI,Apparel,Clothing,Medical bill,1743.28,Expense,INR
2025-03-04,Cash,Apparel,Clothing,Bought groceries,1960.42,Expense,INR
2025-06-03,Debit Card,Apparel,Clothing,Paid bill,2322.01,Expense,INR
2025-03-15,Credit Card,Apparel,Clothing,Paid bill,648.65,Expense,INR
2025-02-04,Credit Card,Apparel,Clothing,Bought groceries,4599.19,Expense,INR
2025-01-23,Netbanking,Apparel,Footwear,UPI transfer,1401.76,Expense,INR
2024-12-25,Netbanking,Apparel,Footwear,Online course,4841.82,Expense,INR
2025-03-27,Cash,Apparel,Footwear,Paid bill,602.34,Expense,INR
2025-04-03,Netbanking,Apparel,Footwear,Medical bill,127.63,Expense,INR
2025-03-29,Netbanking,Apparel,Footwear,Festival shopping,4729.89,Income,INR
2025-03-13,Debit Card,Apparel,Footwear,Medical bill,3357.04,Expense,INR
2025-02-16,UPI,Apparel,Footwear,Online course,4832.74,Expense,INR
2025-01-13,Cash,Apparel,Footwear,Subscription renewal,319.15,Expense,INR
2025-05-06,Debit Card,Apparel,Footwear,Subscription renewal,1571.71,Expense,INR
2025-01-04,Debit Card,Apparel,Footwear,Lunch at cafe,778.5,Expense,INR
2025-03-17,UPI,Apparel,Footwear,Lunch at cafe,694.84,Expense,INR
2025-03-23,Cash,Apparel,Footwear,Online course,2286.21,Expense,INR
2025-01-11,Netbanking,Apparel,Footwear,UPI transfer,2413.5,Expense,INR
2025-02-20,Cash,Apparel,Footwear,Subscription renewal,665.36,Income,INR
2025-05-29,Cash,Apparel,Footwear,Subscription renewal,1177.15,Expense,INR
2025-03-24,Credit Card,Apparel,Footwear,UPI transfer,4629.05,Expense,INR
2025-03-29,Cash,Apparel,Footwear,Train ticket,4926.01,Expense,INR
2024-12-28,Netbanking,Apparel,Footwear,UPI transfer,3132.36,Expense,INR
2025-04-27,Debit Card,Apparel,Footwear,Paid bill,3511.86,Expense,INR
2025-04-27,Netbanking,Apparel,Footwear,Festival shopping,2697.48,Expense,INR
2025-05-26,Netbanking,Beauty,grooming,Lunch at cafe,1705.93,Expense,INR
2025-05-29,Netbanking,Beauty,grooming,Medical bill,3387.61,Expense,INR
