iter	MultiClass
0	2.923602057
1	2.631514315
2	2.38151505
3	2.211980771
4	2.058861697
5	1.982441414
6	1.891923692
7	1.795307309
8	1.706393308
9	1.621017541
10	1.562521832
11	1.50688584
12	1.449904013
13	1.40195475
14	1.386207196
15	1.342578584
16	1.306043189
17	1.282144272
18	1.261038572
19	1.228079593
20	1.204954459
21	1.187539882
22	1.167314532
23	1.139139638
24	1.12367725
25	1.097276546
26	1.079146621
27	1.067458673
28	1.051242971
29	1.043289692
30	1.034408879
31	1.026297436
32	1.011729376
33	1.003107017
34	0.9908413529
35	0.9789948753
36	0.9681754146
37	0.9631199234
38	0.9496991397
39	0.9428860182
40	0.9347461571
41	0.9248769819
42	0.9179393978
43	0.9096462861
44	0.9024044692
45	0.8929385012
46	0.8855610998
47	0.8768127266
48	0.8698785674
49	0.8626817552
50	0.8536770816
51	0.8454657092
52	0.8388142682
53	0.8300854534
54	0.8254413135
55	0.8150338923
56	0.8077579535
57	0.8003026138
58	0.79814797
59	0.794548305
60	0.787025558
61	0.7825141519
62	0.7766643295
63	0.7713629115
64	0.7668928484
65	0.7623533643
66	0.7569011273
67	0.754920217
68	0.744923536
69	0.7417577141
70	0.7367315458
71	0.7322529006
72	0.7279132947
73	0.7258143362
74	0.720667281
75	0.7156355867
76	0.7097608562
77	0.7045336703
78	0.7019335809
79	0.6982072636
80	0.6938604548
81	0.6895273821
82	0.6873648284
83	0.6785834863
84	0.6753942833
85	0.6725839117
86	0.6672309054
87	0.6632066565
88	0.6597777246
89	0.6566692117
90	0.6530029848
91	0.6492555117
92	0.6462352795
93	0.6440049805
94	0.6398648959
95	0.6352772087
96	0.6314015005
97	0.6281380679
98	0.6249236488
99	0.6210681952
100	0.6187298094
101	0.6162356884
102	0.6139575921
103	0.6113685515
104	0.6083914215
105	0.6053231015
106	0.6019503776
107	0.5999970657
108	0.5977599869
109	0.5957095641
110	0.5935213368
111	0.5910261628
112	0.5886178304
113	0.5860330598
114	0.5836552914
115	0.5812361603
116	0.5788770038
117	0.5776376372
118	0.573492099
119	0.5717257112
120	0.5693885298
121	0.5681672155
122	0.5656683903
123	0.5639385666
124	0.5629301897
125	0.5597179384
126	0.5577662537
127	0.5499310643
128	0.5486820074
129	0.5450868882
130	0.5442138092
131	0.5424914326
132	0.5415796587
133	0.5405196298
134	0.5355716835
135	0.5330562831
136	0.5322632817
137	0.529765976
138	0.5273072053
139	0.5265234416
140	0.5243144811
141	0.5225994947
142	0.5219171493
143	0.5198103974
144	0.5133013377
145	0.5125843711
146	0.5102613558
147	0.5096973803
148	0.5085678249
149	0.5032087846
150	0.5011949028
151	0.5006467293
152	0.4991173294
153	0.4946115778
154	0.493801161
155	0.4933453075
156	0.4920142921
157	0.491504017
158	0.4877167399
159	0.4864297475
160	0.4860261272
161	0.4816677118
162	0.4801773114
163	0.4797549223
164	0.4778592377
165	0.4738150216
166	0.4720833324
167	0.4716599341
168	0.4696229533
169	0.4692369886
170	0.4676078912
171	0.4642779694
172	0.4635027414
173	0.4631722642
174	0.4612294165
175	0.4605068953
176	0.4601403822
177	0.4593953664
178	0.4547282414
179	0.4536888749
180	0.4533774988
181	0.4521777606
182	0.4515931338
183	0.4513109358
184	0.4480288839
185	0.4463612105
186	0.4459038355
187	0.4445820817
188	0.4413408097
189	0.4410751378
190	0.4391889257
191	0.438565557
192	0.4383127875
193	0.4357329765
194	0.4326330124
195	0.4314685575
196	0.430091226
197	0.4295407875
198	0.4293151069
199	0.4263007617
