iter	Passed	Remaining
0	14	2815
1	57	5710
2	102	6706
3	145	7142
4	189	7383
5	233	7537
6	277	7657
7	321	7718
8	365	7766
9	409	7781
10	453	7797
11	497	7795
12	541	7786
13	585	7775
14	591	7291
15	636	7318
16	680	7327
17	725	7335
18	770	7338
19	813	7324
20	857	7311
21	902	7298
22	946	7281
23	989	7257
24	1033	7236
25	1077	7214
26	1122	7192
27	1167	7174
28	1211	7144
29	1225	6945
30	1270	6923
31	1293	6792
32	1337	6768
33	1381	6745
34	1424	6716
35	1468	6690
36	1512	6665
37	1537	6553
38	1580	6526
39	1625	6500
40	1669	6474
41	1714	6448
42	1758	6420
43	1804	6396
44	1848	6365
45	1892	6335
46	1936	6304
47	1980	6272
48	2024	6238
49	2067	6203
50	2111	6168
51	2155	6133
52	2199	6099
53	2243	6066
54	2287	6031
55	2331	5995
56	2375	5960
57	2419	5923
58	2424	5795
59	2469	5761
60	2512	5725
61	2555	5689
62	2599	5652
63	2642	5616
64	2686	5578
65	2731	5545
66	2775	5509
67	2781	5398
68	2825	5363
69	2868	5327
70	2911	5289
71	2954	5252
72	2998	5216
73	3043	5181
74	3087	5145
75	3131	5109
76	3175	5073
77	3219	5035
78	3264	4999
79	3309	4964
80	3353	4927
81	3397	4888
82	3441	4850
83	3484	4811
84	3528	4774
85	3572	4735
86	3617	4698
87	3662	4661
88	3706	4622
89	3750	4584
90	3794	4545
91	3841	4509
92	3884	4469
93	3928	4430
94	3972	4390
95	4016	4351
96	4060	4312
97	4106	4274
98	4149	4233
99	4193	4193
100	4237	4153
101	4280	4112
102	4325	4073
103	4370	4034
104	4415	3994
105	4459	3954
106	4503	3914
107	4548	3874
108	4592	3833
109	4636	3793
110	4679	3752
111	4725	3712
112	4769	3672
113	4813	3631
114	4857	3590
115	4902	3550
116	4947	3509
117	4991	3468
118	5035	3427
119	5078	3385
120	5123	3344
121	5166	3303
122	5210	3262
123	5254	3220
124	5298	3179
125	5342	3137
126	5385	3095
127	5430	3054
128	5473	3012
129	5517	2970
130	5560	2928
131	5604	2887
132	5648	2845
133	5692	2803
134	5735	2761
135	5780	2720
136	5825	2678
137	5868	2636
138	5912	2594
139	5957	2553
140	6001	2511
141	6045	2469
142	6089	2427
143	6134	2385
144	6177	2343
145	6222	2301
146	6266	2259
147	6310	2217
148	6353	2174
149	6396	2132
150	6441	2090
151	6485	2048
152	6529	2005
153	6573	1963
154	6617	1921
155	6661	1878
156	6704	1836
157	6748	1793
158	6791	1751
159	6834	1708
160	6879	1666
161	6922	1623
162	6967	1581
163	7012	1539
164	7056	1496
165	7099	1454
166	7144	1411
167	7188	1369
168	7232	1326
169	7276	1284
170	7319	1241
171	7364	1198
172	7408	1156
173	7452	1113
174	7496	1070
175	7540	1028
176	7584	985
177	7628	942
178	7672	900
179	7717	857
180	7760	814
181	7805	771
182	7848	729
183	7891	686
184	7936	643
185	7980	600
186	8024	557
187	8069	515
188	8112	472
189	8156	429
190	8200	386
191	8244	343
192	8287	300
193	8331	257
194	8384	214
195	8435	172
196	8485	129
197	8535	86
198	8585	43
199	8630	0
